,Milk,Grocery,label
164,7603,8584,0
165,12653,19858,0
166,6721,9170,0
167,3195,3268,0
168,735,803,0
169,717,2155,0
170,8675,13430,0
171,25862,19816,0
172,5479,6536,0
173,7677,19805,0
174,1208,5241,0
175,7845,11874,0
176,6958,6536,0
177,7330,4533,0
178,7075,4945,0
179,4888,2500,0
180,6036,8887,0
181,29627,18148,0
182,8533,10518,0
183,43950,20170,0
184,918,4710,0
185,6448,1139,0
186,521,854,0
187,8002,9819,0
188,7639,11687,0
189,11577,11522,0
190,6250,1981,0
191,295,1381,0
192,1461,2251,0
193,3485,20292,0
194,1012,2974,0
195,5139,5230,0
196,7209,4897,0
197,7097,10391,0
198,2154,6824,0
199,2280,2112,0
200,13240,23127,0
201,14399,24708,0
202,11487,9490,0
203,685,2216,0
204,891,5226,0
205,11711,23596,0
206,780,950,0
207,4737,6089,0
208,3748,5838,0
209,12729,16767,0
210,1895,1393,0
211,28326,39694,0
212,1012,2062,0
213,6602,6861,0
214,6551,11364,0
215,10765,15538,0
216,16599,36486,0
217,1475,2046,0
218,7504,15205,0
219,367,1390,0
220,899,1382,0
221,7503,10646,0
222,1115,2856,0
223,2527,5265,0
224,659,1499,0
225,3243,4157,0
226,5921,9212,0
227,2204,1563,0
228,577,572,0
229,2746,2501,0
230,5989,5615,0
231,10678,3828,0
232,1780,3838,0
233,4984,3316,0
234,2703,3833,0
235,6380,2824,0
236,820,3047,0
237,3838,593,0
238,475,585,0
239,2567,3779,0
240,3575,7041,0
241,1801,2475,0
242,659,2914,0
243,3576,5119,0
244,7775,10817,0
245,6154,13916,0
246,2428,1777,0
247,346,489,0
248,5279,2406,0
249,3795,2070,0
250,1993,1799,0
251,23133,33586,0
252,1860,4740,0
253,7961,16966,0
254,17972,4748,0
255,489,1495,0
256,5008,5249,0
257,1931,1883,0
258,4563,2124,0
259,4959,7336,0
260,4885,2157,0
261,1110,1094,0
262,1372,1677,0
263,1115,6684,0
264,9679,15445,0
265,23527,13699,0
266,9763,22182,0
267,1222,2576,0
268,8053,19847,0
269,258,1138,0
270,1032,975,0
271,5007,1563,0
272,8323,6869,0
273,3045,1493,0
274,1703,1841,0
275,1610,223,0
276,3749,6964,0
277,829,683,0
278,2317,2543,0
279,6200,9694,0
280,2884,2431,0
281,7108,6235,0
282,3965,4252,0
283,3613,2013,0
284,4411,12609,0
285,640,3600,0
286,2247,1242,0
287,2102,2828,0
288,594,1296,0
289,286,471,0
290,2160,2642,0
291,3354,3261,0
292,3086,4329,0
293,11103,12469,0
294,2013,6550,0
295,1897,5234,0
296,1304,3643,0
297,3199,6986,0
298,4560,9965,0
299,879,2060,0
300,6243,6360,0
301,13316,20399,0
302,5302,9785,0
303,3688,13829,0
304,7460,24773,0
305,12939,8852,0
306,12867,21570,0
307,2374,2842,0
308,1020,3007,0
309,20655,13567,0
310,1492,2405,0
311,2335,8280,0
312,3737,19172,0
313,925,2405,0
314,1795,7647,0
315,14982,11924,0
316,1375,2201,0
317,3088,6114,0
318,2713,3558,0
319,25071,17645,0
320,3696,2280,0
321,1897,5167,0
322,713,3315,0
323,944,11593,0
324,3587,2464,0
325,16784,13626,0
326,1610,1431,0
327,899,1664,0
328,2209,3389,0
329,1486,4583,0
330,1786,5109,0
331,14881,26839,0
332,3216,1447,0
333,4980,67298,0
334,928,2743,0
335,6817,10790,0
336,1511,1330,0
337,1347,2611,0
338,333,7021,0
339,1188,5332,0
340,4025,9670,0
341,5763,11238,0
342,5758,5923,0
343,6964,26316,0
344,1172,1763,0
345,2602,8335,0
346,6939,15541,0
347,7184,12311,0
348,2380,2028,0
349,14641,20521,0
350,1099,1997,0
351,10044,22294,0
352,1106,1533,0
353,6264,21203,0
354,7393,2548,0
355,727,2012,0
356,134,218,0
357,1275,22272,0
358,18664,1660,0
359,5878,2109,0
360,2872,2006,0
361,607,864,0
362,1601,2453,0
363,997,4438,0
364,873,1524,0
365,6128,8025,0
366,2217,1664,0
367,894,534,0
368,1196,2406,0
369,337,683,0
370,3944,4955,0
371,1887,1939,0
372,3801,1641,0
373,6257,7398,0
374,2256,1668,0
375,1450,1162,0
376,8630,13586,0
377,3154,2648,0
378,3294,1902,0
379,5164,10391,0
380,944,2146,0
381,4591,1617,0
382,7435,8469,0
383,1364,3450,0
384,21858,15400,0
385,922,1614,0
386,3620,2857,0
387,1916,1573,0
388,848,1172,0
389,1530,1422,0
390,1181,1328,0
391,2761,2313,0
392,4180,3600,0
393,6730,3842,0
394,865,3204,0
395,1316,1263,0
396,11991,9345,0
397,1666,1428,0
398,1032,582,0
399,577,935,0
400,906,1238,0
401,2801,2128,0
402,4753,5091,0
403,11006,4604,0
404,4613,3444,0
405,1046,1167,0
406,5010,5026,0
407,12844,18683,0
408,3880,6407,0
409,3634,6100,0
410,2096,4563,0
411,3289,3281,0
412,3605,12400,0
413,4859,6633,0
414,1990,3417,0
415,6046,8552,0
416,10940,10908,0
417,5499,11055,0
418,8494,18622,0
419,3783,2223,0
420,5266,13227,0
421,4847,9053,0
422,1377,4172,0
423,3686,4657,0
424,2884,12232,0
425,2408,2593,0
426,9347,14316,0
427,16687,5429,0
428,5970,4910,0
429,1750,3580,0
430,4230,16483,0
431,5506,5160,0
432,1162,4754,0
433,3218,1493,0
434,3922,7994,0
435,12051,16027,0
436,1431,764,0
437,15488,30243,0
438,1981,2232,0
439,1698,2510,0
