,Milk,Grocery,label
166,6721,9170,8
167,3195,3268,8
168,735,803,8
169,717,2155,8
170,8675,13430,8
171,25862,19816,6
172,5479,6536,8
173,7677,19805,8
174,1208,5241,8
175,7845,11874,8
176,6958,6536,8
177,7330,4533,8
178,7075,4945,8
179,4888,2500,8
180,6036,8887,8
181,29627,18148,6
182,8533,10518,8
183,43950,20170,4
184,918,4710,8
185,6448,1139,8
186,521,854,8
187,8002,9819,8
188,7639,11687,8
189,11577,11522,8
190,6250,1981,8
191,295,1381,8
192,1461,2251,8
193,3485,20292,8
194,1012,2974,8
195,5139,5230,8
196,7209,4897,8
197,7097,10391,8
198,2154,6824,8
199,2280,2112,8
200,13240,23127,6
201,14399,24708,5
202,11487,9490,8
203,685,2216,8
204,891,5226,8
205,11711,23596,5
206,780,950,8
207,4737,6089,8
208,3748,5838,8
209,12729,16767,8
210,1895,1393,8
211,28326,39694,5
212,1012,2062,8
213,6602,6861,8
214,6551,11364,8
215,10765,15538,8
216,16599,36486,5
217,1475,2046,8
218,7504,15205,8
219,367,1390,8
220,899,1382,8
221,7503,10646,8
222,1115,2856,8
223,2527,5265,8
224,659,1499,8
225,3243,4157,8
226,5921,9212,8
227,2204,1563,8
228,577,572,8
229,2746,2501,8
230,5989,5615,8
231,10678,3828,8
232,1780,3838,8
233,4984,3316,8
234,2703,3833,8
235,6380,2824,8
236,820,3047,8
237,3838,593,8
238,475,585,8
239,2567,3779,8
240,3575,7041,8
241,1801,2475,8
242,659,2914,8
243,3576,5119,8
244,7775,10817,8
245,6154,13916,8
246,2428,1777,8
247,346,489,8
248,5279,2406,8
249,3795,2070,8
250,1993,1799,8
251,23133,33586,5
252,1860,4740,8
253,7961,16966,8
254,17972,4748,6
255,489,1495,8
256,5008,5249,8
257,1931,1883,8
258,4563,2124,8
259,4959,7336,8
260,4885,2157,8
261,1110,1094,8
262,1372,1677,8
263,1115,6684,8
264,9679,15445,8
265,23527,13699,6
266,9763,22182,8
267,1222,2576,8
268,8053,19847,8
269,258,1138,8
270,1032,975,8
271,5007,1563,8
272,8323,6869,8
273,3045,1493,8
274,1703,1841,8
275,1610,223,8
276,3749,6964,8
277,829,683,8
278,2317,2543,8
279,6200,9694,8
280,2884,2431,8
281,7108,6235,8
282,3965,4252,8
283,3613,2013,8
284,4411,12609,8
285,640,3600,8
286,2247,1242,8
287,2102,2828,8
288,594,1296,8
289,286,471,8
290,2160,2642,8
291,3354,3261,8
292,3086,4329,8
293,11103,12469,8
294,2013,6550,8
295,1897,5234,8
296,1304,3643,8
297,3199,6986,8
298,4560,9965,8
299,879,2060,8
300,6243,6360,8
301,13316,20399,6
302,5302,9785,8
303,3688,13829,8
304,7460,24773,8
305,12939,8852,8
306,12867,21570,6
307,2374,2842,8
308,1020,3007,8
309,20655,13567,6
310,1492,2405,8
311,2335,8280,8
312,3737,19172,8
313,925,2405,8
314,1795,7647,8
315,14982,11924,8
316,1375,2201,8
317,3088,6114,8
318,2713,3558,8
319,25071,17645,6
320,3696,2280,8
321,1897,5167,8
322,713,3315,8
323,944,11593,8
324,3587,2464,8
325,16784,13626,6
326,1610,1431,8
327,899,1664,8
328,2209,3389,8
329,1486,4583,8
330,1786,5109,8
331,14881,26839,5
332,3216,1447,8
333,4980,67298,7
334,928,2743,8
335,6817,10790,8
336,1511,1330,8
337,1347,2611,8
338,333,7021,8
339,1188,5332,8
340,4025,9670,8
341,5763,11238,8
342,5758,5923,8
343,6964,26316,8
344,1172,1763,8
345,2602,8335,8
346,6939,15541,8
347,7184,12311,8
348,2380,2028,8
349,14641,20521,6
350,1099,1997,8
351,10044,22294,8
352,1106,1533,8
353,6264,21203,8
354,7393,2548,8
355,727,2012,8
356,134,218,8
357,1275,22272,8
358,18664,1660,6
359,5878,2109,8
360,2872,2006,8
361,607,864,8
362,1601,2453,8
363,997,4438,8
364,873,1524,8
365,6128,8025,8
366,2217,1664,8
367,894,534,8
368,1196,2406,8
369,337,683,8
370,3944,4955,8
371,1887,1939,8
372,3801,1641,8
373,6257,7398,8
374,2256,1668,8
375,1450,1162,8
376,8630,13586,8
377,3154,2648,8
378,3294,1902,8
379,5164,10391,8
380,944,2146,8
381,4591,1617,8
382,7435,8469,8
383,1364,3450,8
384,21858,15400,6
385,922,1614,8
386,3620,2857,8
387,1916,1573,8
388,848,1172,8
389,1530,1422,8
390,1181,1328,8
391,2761,2313,8
392,4180,3600,8
393,6730,3842,8
394,865,3204,8
395,1316,1263,8
396,11991,9345,8
397,1666,1428,8
398,1032,582,8
399,577,935,8
400,906,1238,8
401,2801,2128,8
402,4753,5091,8
403,11006,4604,8
404,4613,3444,8
405,1046,1167,8
406,5010,5026,8
407,12844,18683,6
408,3880,6407,8
409,3634,6100,8
410,2096,4563,8
411,3289,3281,8
412,3605,12400,8
413,4859,6633,8
414,1990,3417,8
415,6046,8552,8
416,10940,10908,8
417,5499,11055,8
418,8494,18622,8
419,3783,2223,8
420,5266,13227,8
421,4847,9053,8
422,1377,4172,8
423,3686,4657,8
424,2884,12232,8
425,2408,2593,8
426,9347,14316,8
427,16687,5429,8
428,5970,4910,8
429,1750,3580,8
430,4230,16483,8
431,5506,5160,8
432,1162,4754,8
433,3218,1493,8
434,3922,7994,8
435,12051,16027,8
436,1431,764,8
437,15488,30243,5
438,1981,2232,8
439,1698,2510,8
